gutenberg_id	updated	repo_name	repo_owner	datebuilt	version	ebooks_in_release_count	last_build_id	last_build_state	buildable	has_metadata	has_source	metadata_written
95	2016-08-07T14:36:01.124562-07:00	The-Prisoner-of-Zenda_95	GITenberg	2016-08-05T18:48:10.074736-07:00	0.1.0	0	150208606	errored	True	True	True	2016-08-04T08:59:11.904081-07:00
96	2016-08-07T14:36:03.800199-07:00	The-Monster-Men_96	GITenberg	2016-08-05T18:48:16.531715-07:00	0.1.0	0	150208619	errored	True	True	True	2016-08-04T08:59:14.337664-07:00
97	2016-08-07T14:36:06.766380-07:00	Flatland--a-romance-of-many-dimensions_97	GITenberg	2016-08-05T18:48:22.116758-07:00	0.1.0	0	150208641	errored	True	True	True	2016-08-04T08:59:18.373634-07:00
98	2016-08-03T18:44:21.676296-07:00	A-Tale-of-Two-Cities_98	GITenberg	2016-07-27T21:37:27Z	0.2.1	3	147879560	passed	True	True	True	2016-08-03T18:44:21.676276-07:00
99	2016-08-07T14:36:10.080244-07:00	Collected-Articles-of-Frederick-Douglass_99	GITenberg	2016-08-05T18:48:28.171156-07:00	0.1.0	0	150208661	errored	True	True	True	2016-08-04T08:59:20.544054-07:00
100	2016-08-07T14:36:13.132066-07:00	The-Complete-Works-of-William-Shakespeare_100	GITenberg	2016-08-05T18:48:34.685611-07:00	0.1.0	0	150208663	errored	True	True	True	2016-08-04T08:59:22.982829-07:00
102	2016-08-07T14:36:15.937694-07:00	The-Tragedy-of-Pudd-nhead-Wilson_102	GITenberg	2016-08-05T18:48:51.718633-07:00	0.1.0	0	150208676	errored	True	True	True	2016-08-04T08:59:27.761688-07:00
103	2016-08-03T18:44:21.676335-07:00	Around-the-World-in-80-Days_103	GITenberg	2016-07-27T18:28:58Z	0.1.0	3	147833569	passed	True	True	True	2016-08-03T18:44:21.676315-07:00
104	2016-08-07T14:36:18.604349-07:00	Inaugural-Address-of-Franklin-Delano-Roosevelt--13-Given-in-Washington-D.C.-March-4th-1933_104	GITenberg	2016-08-05T18:49:00.167914-07:00	0.1.0	0	150208681	errored	True	True	True	2016-08-04T08:59:30.026538-07:00
105	2016-08-03T18:44:21.676373-07:00	Persuasion_105	GITenberg	2016-07-27T20:39:25Z	0.1.0	3	147865695	passed	True	True	True	2016-08-03T18:44:21.676353-07:00
106	2016-08-03T18:44:21.676415-07:00	Jungle-Tales-of-Tarzan_106	GITenberg	2016-07-27T18:29:20Z	0.1.1	3	147833578	passed	True	True	True	2016-08-03T18:44:21.676392-07:00
107	2016-08-07T14:37:00.814155-07:00	Far-from-the-Madding-Crowd_107	GITenberg	2016-08-05T18:52:52.346221-07:00	0.1.0	0	150208977	errored	True	True	True	2016-08-04T08:59:34.410045-07:00
108	2016-08-07T14:37:03.944720-07:00	The-Return-of-Sherlock-Holmes_108	GITenberg	2016-08-05T18:52:58.715055-07:00	0.1.0	0	150208989	errored	True	True	True	2016-08-04T08:59:39.390048-07:00
109	2016-08-07T14:37:07.194960-07:00	Renascence-and-Other-Poems_109	GITenberg	2016-08-05T18:53:05.212431-07:00	0.1.0	0	150208995	errored	True	True	True	2016-08-04T08:59:42.790221-07:00
110	2016-08-03T18:44:21.676453-07:00	Tess-of-the-d-Urbervilles--a-Pure-Woman_110	GITenberg	2016-07-27T20:39:25Z	0.1.1	3	147865637	passed	True	True	True	2016-08-03T18:44:21.676434-07:00
111	2016-08-07T14:37:09.620503-07:00	Freckles_111	GITenberg	2016-08-05T18:53:11.446808-07:00	0.1.0	0	150208999	errored	True	True	True	2016-08-04T08:59:44.984631-07:00
112	2016-08-07T14:37:12.221317-07:00	Violists_112	GITenberg	2016-08-05T18:53:18.140829-07:00	0.1.0	0	150209007	errored	True	True	True	2016-08-04T08:59:47.234175-07:00
113	2016-08-03T18:44:21.676492-07:00	The-Secret-Garden_113	GITenberg	2016-07-27T18:42:25Z	0.1.0	3	147835090	passed	True	True	True	2016-08-03T18:44:21.676472-07:00
115	2016-08-07T14:37:15.711332-07:00	United-States-Census-Figures-Back-to-1630_115	GITenberg	2016-08-05T18:53:23.661023-07:00	0.1.0	0	150209009	errored	True	True	True	2016-08-04T08:59:49.541897-07:00
117	2016-08-07T14:37:18.302120-07:00	Symphony-No.-5-in-C-minor-Opus-67_117	GITenberg	2016-08-05T18:53:29.635399-07:00	0.1.0	0	150209018	errored	True	True	True	2016-08-04T08:59:51.768115-07:00
118	2016-08-07T14:37:21.154454-07:00	Big-Dummy-s-Guide-to-the-Internet_118	GITenberg	2016-08-05T18:53:35.132189-07:00	0.1.0	0	150209028	errored	True	True	True	2016-08-04T08:59:53.972428-07:00
119	2016-08-07T14:37:24.864013-07:00	A-Tramp-Abroad_119	GITenberg	2016-08-05T18:53:41.553416-07:00	0.1.0	0	150209046	errored	True	True	True	2016-08-04T08:59:57.590063-07:00
120	2016-08-03T18:44:21.676530-07:00	Treasure-Island_120	GITenberg	2016-07-27T18:42:25Z	0.1.1	3	147835112	passed	True	True	True	2016-08-03T18:44:21.676511-07:00
121	2016-08-03T18:44:21.676569-07:00	Northanger-Abbey_121	GITenberg	2016-07-27T18:04:30Z	0.1.1	3	147825915	passed	True	True	True	2016-08-03T18:44:21.676549-07:00
122	2016-08-07T14:37:28.433434-07:00	The-Return-of-the-Native_122	GITenberg	2016-08-05T18:53:52.429370-07:00	0.1.0	0	150209054	errored	True	True	True	2016-08-04T09:00:04.677422-07:00
123	2016-08-07T14:37:31.487367-07:00	At-the-Earth-s-Core_123	GITenberg	2016-08-05T18:54:06.268027-07:00	0.1.0	0	150209078	errored	True	True	True	2016-08-04T09:00:12.666351-07:00
124	2016-08-07T14:37:34.145085-07:00	Deuterocanonical-Books-of-the-Bible--13-Apocrypha_124	GITenberg	2016-08-05T18:54:12.647003-07:00	0.1.0	3	150209086	passed	True	True	True	2016-08-04T09:00:17.579971-07:00
125	2016-08-07T14:37:36.926469-07:00	A-Girl-of-the-Limberlost_125	GITenberg	2016-08-05T18:54:18.727379-07:00	0.1.0	0	150209088	errored	True	True	True	2016-08-04T09:00:21.392935-07:00
126	2016-08-07T14:37:41.024896-07:00	The-Poison-Belt_126	GITenberg	2016-08-05T18:54:24.977391-07:00	0.1.0	0	150209116	errored	True	True	True	2016-08-04T09:00:26.648471-07:00
128	2016-08-07T14:37:44.986729-07:00	The-Arabian-Nights-Entertainments_128	GITenberg	2016-08-05T18:54:33.741881-07:00	0.1.0	0	150209120	errored	True	True	True	2016-08-04T09:00:30.100629-07:00
130	2016-08-07T14:37:47.820091-07:00	Orthodoxy_130	GITenberg	2016-08-05T18:54:39.671213-07:00	0.1.0	3	150209122	passed	True	True	True	2016-08-04T09:00:33.813971-07:00
131	2016-08-03T18:44:21.676608-07:00	The-Pilgrim-s-Progress-from-this-world-to-that-which-is-to-come--13-Delivered-under-the-similit__131	GITenberg	2016-07-27T16:09:06Z	0.1.0	3	147801453	passed	True	True	True	2016-08-03T18:44:21.676588-07:00
132	2016-08-03T18:44:21.676646-07:00	The-Art-of-War_132	GITenberg	2016-07-27T16:10:55Z	0.1.0	3	147801895	passed	True	True	True	2016-08-03T18:44:21.676626-07:00
133	2016-08-07T14:37:50.345381-07:00	The-Damnation-of-Theron-Ware_133	GITenberg	2016-08-05T18:54:46.152865-07:00	0.1.0	3	150209143	passed	True	True	True	2016-08-04T09:00:37.168414-07:00
135	2016-08-03T18:44:21.676685-07:00	Les-Mis-rables_135	GITenberg	2016-07-27T20:52:36Z	0.2.1	3	147866277	passed	True	True	True	2016-08-03T18:44:21.676665-07:00
136	2016-08-07T14:37:54.236139-07:00	A-Child-s-Garden-of-Verses_136	GITenberg	2016-08-05T18:54:55.898529-07:00	0.1.0	3	150209145	passed	True	True	True	2016-08-04T09:00:44.510641-07:00
137	2016-08-07T14:37:56.917675-07:00	Sara-Crewe--Or-What-Happened-at-Miss-Minchin-s-Boarding-School_137	GITenberg	2016-08-05T18:55:07.216876-07:00	0.1.0	3	150209155	passed	True	True	True	2016-08-04T09:00:47.282817-07:00
